TURANY,DATE,Y2013,RA2013,14DA2013,Y2014,RA2014,14DA2014,Y2015,RA2015,14DA2015,Y2016,RA2016,14DA2016,Y2017,RA2017,14DA2017,Y2018,RA2018,14DA2018,Y2019,RA2019,14DA2019,Y2020,RA2020,14DA2020,Y2021,RA2021,14DA2021,Y2022,RA2022,14DA2022,Y2023,RA2023,14DA2023
11723099999,3/18/13,0,0.081428571,0.042142857,0,0.03,0.025,0,0.03,0.030714286,0,0.014285714,0.007857143,0.15,0.057142857,0.031428571,0.01,0.041666667,0.020769231,0,0.038571429,0.023571429,0,0.005714286,0.005,0,0.115,0.066923077,0,0.035714286,0.017857143,0,0.005714286,0.005
11723099999,3/19/13,0.5,0.081428571,0.043571429,0.06,0.03,0.025,0,0,0.017857143,0,0,0.010714286,0.13,0.06,0.031428571,0,0.041666667,0.020769231,0,0.03,0.023571429,0,0.005714286,0.004285714,0.63,0.12,0.055384615,0,0.035714286,0.017857143,0,0,0.006428571
11723099999,3/20/13,0.01,0.081428571,0.044285714,0,0.008571429,0.025,0,0,0.022142857,0,0,0.010714286,0.12,0.062857143,0.031428571,NaN,0.038333333,0.020833333,0,0.001428571,0.023571429,0,0.005714286,0.002857143,0.06,0.102857143,0.055384615,0,0,0.017857143,0,0,0.007142857
11723099999,3/21/13,0.06,0.081428571,0.042857143,0,0.028571429,0.025,0,0,0.023571429,0,0.001428571,0.010714286,0,0.062857143,0.031428571,0,0.001666667,0.020833333,0,0,0.023571429,0.04,0.005714286,0.002857143,0,0.102857143,0.056153846,0,0,0.017857143,0,0,0.007142857
11723099999,3/22/13,0,0.081428571,0.051428571,0,0.028571429,0.025,0,0,0.008571429,0,0.001428571,0.003571429,0.02,0.041428571,0.031428571,0,0,0.0325,0,0,0.019285714,0,0.005714286,0.002857143,0.03,0.102857143,0.056153846,0,0,0.017857143,0,0.004285714,0.004285714
11723099999,3/23/13,0,0.012857143,0.065,0,0.02,0.014285714,0,0.004285714,0.015714286,0,0.007142857,0.003571429,0.02,0.022857143,0.031428571,0,0,0.030833333,0,0.008571429,0.005,0,0.005714286,0.002857143,0,0.012857143,0.052857143,0,0,0.003571429,0,0.007142857,0.005714286
11723099999,3/24/13,0,0.012857143,0.071428571,0.14,0.02,0.014285714,0,0.014285714,0.016428571,0.01,0.007142857,0.003571429,0,0.005714286,0.031428571,0,0,0.0125,0,0.008571429,0.004285714,0,0.005714286,0.002857143,0,0.004285714,0.052857143,0,0,0.004285714,0,0.008571429,0.024285714
11723099999,3/25/13,0,0.004285714,0.081428571,0,0.02,0.014285714,0,0.017142857,0.044285714,0,0.007142857,0.003571429,0,0.005714286,0.020714286,0,0,0.0425,0,0.008571429,0.004285714,0,0,0.003571429,0,0.005714286,0.052857143,0,0,0.015,0.03,0.008571429,0.032142857
11723099999,3/26/13,0.02,0.021428571,0.045714286,0,0.02,0.01,0.03,0.017142857,0.053571429,0.04,0.007142857,0.003571429,0,0.002857143,0.011428571,0,0.023333333,0.0425,0.06,0.008571429,0.004285714,0,0,0.003571429,0,0.001428571,0.007857143,0,0,0.015,0.02,0.008571429,0.033571429
11723099999,3/27/13,0.01,0.048571429,0.045,0,0.02,0.01,0.07,0.031428571,0.055714286,0,0.007142857,0.003571429,0,0,0.002857143,NaN,0.023333333,0.039230769,0,0.008571429,0.004285714,0,0,0.003571429,0,0.002857143,0.003571429,0,0.007142857,0.015,0.01,0.011428571,0.036428571
11723099999,3/28/13,0,0.061428571,0.040714286,0,0,0.01,0.02,0.032857143,0.055714286,0,0.005714286,0.003571429,0,0,0.002857143,0,0.023333333,0.039230769,0,0.008571429,0.004285714,0,0,0.000714286,0.01,0.002857143,0.009285714,0,0.008571429,0.015,0,0.048571429,0.036428571
11723099999,3/29/13,0.12,0.081428571,0.040714286,0,0,0.01,0,0.088571429,0.055714286,0,0.005714286,0.003571429,0,0,0.001428571,0.14,0.085,0.039230769,0,0.008571429,0.004285714,0,0.001428571,0.000714286,0,0.002857143,0.007142857,0,0.03,0.015714286,0,0.06,0.036428571
11723099999,3/30/13,0.19,0.078571429,0.052857143,0,0,0.01,0.1,0.102857143,0.055714286,0,0,0.003571429,0,0,0.001428571,0,0.085,0.040769231,0,0,0.014285714,0,0.001428571,0.000714286,0.01,0.002857143,0.007142857,0.05,0.03,0.015714286,0.02,0.06,0.036428571
11723099999,3/31/13,0.09,0.077142857,0.052857143,0,0,0.001428571,0.01,0.097142857,0.056428571,0,0,0.004285714,0,0,0.002857143,0,0.072857143,0.040769231,0,0,0.014285714,0,0.001428571,0.000714286,0,0.002857143,0.007857143,0.01,0.03,0.017142857,0.26,0.064285714,0.036428571
11723099999,4/1/13,0.14,0.077142857,0.052857143,0,0,0.001428571,0.39,0.094285714,0.056428571,0,0,0.013571429,0,0,0.007142857,0.37,0.072857143,0.040769231,0,0,0.014285714,0.01,0.001428571,0.000714286,0,0.012857143,0.007857143,0.15,0.03,0.017142857,0.11,0.064285714,0.057142857
11723099999,4/2/13,0,0.06,0.051428571,0,0,0.011428571,0.13,0.094285714,0.054285714,0,0,0.047857143,0,0,0.007142857,0,0.052857143,0.040769231,0,0,0.01,0,0.001428571,0.000714286,0,0.012857143,0.007857143,0,0.031428571,0.033571429,0.02,0.064285714,0.060714286
11723099999,4/3/13,0,0.057142857,0.052857143,0,0,0.011428571,0.03,0.08,0.049285714,0,0,0.066428571,0,0.002857143,0.007142857,0,0.055714286,0.037857143,0,0.02,0.01,0,0.001428571,0.000714286,0,0.011428571,0.007857143,0,0.024285714,0.033571429,0.04,0.061428571,0.060714286
11723099999,4/4/13,0,0.044285714,0.057142857,0,0.002857143,0.016428571,0,0.08,0.047857143,0,0.002857143,0.069285714,0,0.005714286,0.02,0,0.055714286,0.037857143,0,0.02,0.010714286,0,0.001428571,0.000714286,0.08,0.012857143,0.007142857,0,0.025714286,0.033571429,0,0.024285714,0.060714286
11723099999,4/5/13,0,0.024285714,0.048571429,0,0.002857143,0.016428571,0,0.024285714,0.054285714,0,0.021428571,0.069285714,0,0.014285714,0.02,0,0.002857143,0.027857143,0,0.02,0.010714286,0,0,0.000714286,0,0.012857143,0.007142857,0.01,0.004285714,0.033571429,0,0.054285714,0.078571429
11723099999,4/6/13,0.17,0.024285714,0.039285714,0,0.022857143,0.016428571,0,0.005714286,0.047142857,0,0.095714286,0.069285714,0.02,0.014285714,0.02,0.02,0.002857143,0.054285714,0.14,0.02,0.010714286,0,0,0.000714286,0,0.012857143,0.028571429,0,0.037142857,0.03,0,0.061428571,0.077857143
11723099999,4/7/13,0,0.028571429,0.032857143,0.02,0.022857143,0.016428571,0.01,0.001428571,0.046428571,0.02,0.132857143,0.075714286,0.02,0.014285714,0.024285714,0,0.002857143,0.054285714,0,0.02,0.013571429,0,0,0.017857143,0.01,0.012857143,0.035714286,0.02,0.037142857,0.029285714,0,0.057142857,0.140714286
11723099999,4/8/13,0,0.037142857,0.022857143,0,0.032857143,0.024285714,0,0.001428571,0.018571429,0.13,0.138571429,0.075714286,0.06,0.04,0.024285714,0,0.002857143,0.027857143,0,0.021428571,0.015,0,0,0.017142857,0,0.001428571,0.035714286,0,0.037142857,0.021428571,0.32,0.057142857,0.195
11723099999,4/9/13,0,0.037142857,0.022857143,0.14,0.032857143,0.032142857,0,0.014285714,0.009285714,0.52,0.138571429,0.075714286,0,0.04,0.025714286,0,0.002857143,0.032857143,0,0.021428571,0.015,0,0,0.017142857,0,0.001428571,0.037142857,0.23,0.035714286,0.021428571,0.07,0.092857143,0.195
11723099999,4/10/13,0.03,0.021428571,0.022857143,0,0.032857143,0.032142857,0,0.014285714,0.007142857,0.26,0.138571429,0.075714286,0,0.037142857,0.025714286,0,0.052857143,0.032857143,0,0.001428571,0.015,0,0,0.017142857,0,0.045714286,0.037142857,0,0.035714286,0.021428571,0.01,0.094285714,0.192857143
11723099999,4/11/13,0.06,0.021428571,0.022857143,0.07,0.03,0.032142857,0,0.012857143,0.008571429,0.04,0.148571429,0.090714286,0.18,0.042857143,0.064285714,0,0.052857143,0.032857143,0.01,0.007142857,0.015,0,0.034285714,0.017142857,0,0.058571429,0.031428571,0,0.032857143,0.021428571,0,0.257142857,0.192857143
11723099999,4/12/13,0,0.021428571,0.024285714,0,0.045714286,0.032142857,0.09,0.012857143,0.008571429,0,0.13,0.090714286,0,0.034285714,0.064285714,0,0.052857143,0.032857143,0,0.01,0.015,0,0.034285714,0.033571429,0,0.058571429,0.032142857,0,0.038571429,0.020714286,0.25,0.335714286,0.195714286
11723099999,4/13/13,0.06,0.021428571,0.034285714,0,0.041428571,0.032142857,0,0.012857143,0.008571429,0,0.055714286,0.090714286,0,0.037142857,0.070714286,0.37,0.062857143,0.031428571,0,0.01,0.005,0,0.034285714,0.034285714,0.31,0.061428571,0.038571429,0,0.005714286,0.022142857,0.01,0.328571429,0.197142857
11723099999,4/14/13,0,0.017142857,0.034285714,0,0.041428571,0.037142857,0,0.012857143,0.007857143,0.09,0.018571429,0.089285714,0.06,0.037142857,0.069285714,0,0.062857143,0.031428571,0.04,0.01,0.005,0.24,0.034285714,0.034285714,0.1,0.061428571,0.039285714,0,0.005714286,0.020714286,1.14,0.328571429,0.197142857
11723099999,4/15/13,0,0.008571429,0.034285714,0.11,0.031428571,0.037142857,0,0.015714286,0.007857143,0,0.042857143,0.08,0,0.088571429,0.065,0,0.062857143,0.031428571,0.02,0.008571429,0.005,0,0.034285714,0.034285714,0,0.061428571,0.040714286,0.04,0.005714286,0.020714286,0.87,0.328571429,0.174285714
11723099999,4/16/13,0,0.011428571,0.034285714,0.11,0.031428571,0.044285714,0,0.002857143,0.007857143,0,0.042857143,0.042857143,0.02,0.088571429,0.065,0.07,0.062857143,0.031428571,0,0.008571429,0.005,0,0.067142857,0.034285714,0.02,0.062857143,0.044285714,0,0.005714286,0.009285714,0.02,0.298571429,0.169285714
11723099999,4/17/13,0,0.047142857,0.032142857,0,0.031428571,0.045714286,0,0.002857143,0.007857143,0,0.042857143,0.027142857,0,0.104285714,0.065,0,0.01,0.032857143,0,0.008571429,0.012857143,0,0.068571429,0.034285714,0,0.031428571,0.044285714,0,0.008571429,0.010714286,0.01,0.3,0.169285714
11723099999,4/18/13,0,0.047142857,0.027857143,0,0.044285714,0.042857143,0.02,0.002857143,0.007857143,0.21,0.03,0.024285714,0.54,0.095714286,0.052142857,0,0.01,0.032857143,0,0.002857143,0.012142857,0,0.034285714,0.034285714,0,0.02,0.044285714,0,0.008571429,0.014285714,0,0.137142857,0.17
11723099999,4/19/13,0.02,0.047142857,0.027857143,0,0.028571429,0.044285714,0,0.002857143,0.001428571,0,0.03,0.024285714,0,0.095714286,0.054285714,0,0.01,0.034285714,0,0,0.012142857,0.23,0.034285714,0.034285714,0.01,0.022857143,0.044285714,0,0.002857143,0.020714286,0.04,0.012857143,0.155
11723099999,4/20/13,0.31,0.047142857,0.023571429,0,0.047142857,0.044285714,0,0.002857143,0.001428571,0,0.03,0.030714286,0.11,0.092857143,0.063571429,0,0,0.007857143,0,0,0.012857143,0.01,0.034285714,0.034285714,0.09,0.027142857,0.022142857,0.02,0.012857143,0.020714286,0.02,0.01,0.154285714
